Candidate,PoliticalParty,ElectionYear,OfficeSought,IsIncument,TotalVotes
Mark R. Warner,Democratic,2020,Member United States Senate,True,2466500
Joseph R. Biden,Democratic,2020,President and Vice President,False,2413568
Mark R. Warner,Democratic,2008,United States Senate - 2001 CD Lines,False,2369373
Timothy M. Kaine,Democratic,2012,Member United States Senate,False,2010067
Hillary Clinton,Democratic,2016,President and Vice President,False,1981473
Barack Obama,Democratic,2012,President and Vice President,True,1971820
Donald J. Trump,Republican,2020,President and Vice President,True,1962430
Barack Obama and Joe Biden,Democratic,2008,President and Vice President - 2001 CD Lines,False,1959581
Daniel M. Gade,Republican,2020,Member United States Senate,False,1934199
Timothy M. Kaine,Democratic,2018,Member United States Senate,True,1910370
Mitt Romney,Republican,2012,President and Vice President,False,1822522
George F. Allen,Republican,2012,Member United States Senate,False,1785542
Donald J. Trump,Republican,2016,President and Vice President,False,1769443
John McCain and Sarah Palin,Republican,2008,President and Vice President - 2001 CD Lines,False,1725058
 BUSH,Republican,2004,President and Vice President - 2001 CD Lines,False,1716542
 KERRY,Democratic,2004,President and Vice President - 2001 CD Lines,False,1453822
Ralph S. Northam,Democratic,2017,Governor,False,1408818
Mark R. Herring,Democratic,2017,Attorney General,True,1385390
Corey A. Stewart,Republican,2018,Member United States Senate,False,1374313
 BUSH,Republican,2000,President and Vice President - 2001 CD Lines,False,1370444
Justin E. Fairfax,Democratic,2017,Lieutenant Governor,False,1368412
G ALLEN,Republican,2000,United States Senate - 2001 CD Lines,False,1353478
C ROBB,Democratic,2000,United States Senate - 2001 CD Lines,False,1233185
"James S. ""Jim"" Gilmore III",Republican,2008,United States Senate - 2001 CD Lines,False,1228874
J WARNER,Republican,2002,United States Senate - 2001 CD Lines,False,1226404
Jill H. Vogel,Republican,2017,Lieutenant Governor,False,1224520
Ralph S. Northam,Democratic,2013,Lieutenant Governor,False,1213155
John D. Adams,Republican,2017,Attorney General,False,1209540
J WARNER,Republican,1996,United States Senate - 2001 CD Lines,False,1179088
"Edward W. ""Ed"" Gillespie",Republican,2017,Governor,False,1175732
J WEBB,Democratic,2006,United States Senate - 2001 CD Lines,False,1174988
G ALLEN,Republican,2006,United States Senate - 2001 CD Lines,False,1165544
"Robert F. ""Bob"" McDonnell",Republican,2009,Governor - 2001 CD Lines,False,1163651
 GORE,Democratic,2000,President and Vice President - 2001 CD Lines,False,1157490
Ken T. Cuccinelli II,Republican,2009,Attorney General - 2001 CD Lines,False,1124137
"William T. ""Bill"" Bolling",Republican,2009,Lieutenant Governor - 2001 CD Lines,True,1106793
Mark R. Herring,Democratic,2013,Attorney General,False,1103777
Mark D. Obenshain,Republican,2013,Attorney General,False,1103612
 DOLE,Republican,1996,President and Vice President - 2001 CD Lines,False,1086819
J KILGORE,Republican,2001,Attorney General - 2001 CD Lines,False,1078152
Mark R. Warner,Democratic,2014,Member United States Senate,True,1073667
Terry R. McAuliffe,Democratic,2013,Governor,False,1069789
M WARNER,Democratic,1996,United States Senate - 2001 CD Lines,False,1064119
Ed W. Gillespie,Republican,2014,Member United States Senate,False,1055940
 CLINTON,Democratic,1996,President and Vice President - 2001 CD Lines,False,1039983
T KAINE,Democratic,2005,Governor - 2001 CD Lines,False,1025837
Ken T. Cuccinelli II,Republican,2013,Governor,False,1013354
